gender,income,genhealth,illegalact,age,charged,grade90,jobsnum90,afqt89,jobtrain90,job_agri,job_mining,job_construction,job_manuf,job_transp,job_wholesale,job_retail,job_fin,job_busi,job_personal,job_enter,job_pro,job_pub
1,2.0,2,0,20,0,12,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2.3,3,1,18,0,16,10,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,3,0,14,0,12,7,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.7,3,0,20,0,12,8,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3.0,1,0,15,0,14,4,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4.0,1,0,20,0,16,3,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.4,2,2,15,0,16,15,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0,1,0,15,0,16,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.6,3,0,20,0,13,9,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,1,0,21,0,13,4,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3.4,2,1,19,0,16,10,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3.0,1,2,17,0,16,17,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.55,2,1,16,0,16,19,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.5,1,1,19,0,14,3,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,2,0,18,0,16,8,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0,2,0,18,0,12,4,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.0,2,0,20,0,12,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,2,1,20,0,13,15,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.1,2,0,20,0,12,3,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.28,1,0,16,0,12,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.075,1,0,19,0,13,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3.5,2,5,16,0,15,12,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3.0,2,5,15,0,12,7,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.096,4,0,17,0,12,14,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,2,0,17,0,12,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.2,1,0,16,0,17,5,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4.0,1,2,20,1,12,7,77,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.92,2,0,20,0,14,6,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.26,2,0,20,0,12,5,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.38,4,6,15,0,12,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.6,2,0,20,0,12,19,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.3,1,0,22,0,17,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.8,3,1,20,0,12,8,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.0,2,2,14,0,12,14,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,1,1,21,0,18,8,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5.0,1,0,16,0,16,11,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.85,1,0,19,0,16,11,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.6,1,0,17,0,16,16,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4.6,1,3,15,0,14,10,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.9,2,0,14,0,16,7,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.14,2,0,21,0,16,6,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,2,2,18,0,18,9,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.7,2,2,15,0,17,10,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.3,1,2,14,0,14,15,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,2,0,20,0,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,4,1,18,1,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
