"E6010100","E6010200","E6010300","E6010400","E6010500","E6010600","E6010700","E6010800","E6010900","E6011000","E6011100","E6011200","E6011300","E6011400","E6011500","E6011600","E6011700","E6011800","E6011900","E6012000","E6012100","E6012200","E6012300","E6012400","E6012500","E6012600","E6012700","E6012800","E6012900","E6013000","E6013100","E6013200","E6013300","E6013400","E6013500","H0001600","H0003200","H0003300","H0003400","H0014700","R0000100","R0000600","R0009600","R0017300","R0173600","R0214700","R0214800","R0215310","R0216701","R0217502","R0304900","R0307100","R0407510","R0481600","R0618200","R0618300","R0618301","R0618901","R0898201","R1145001","R1520201","R1774000","R1890901","R1892220","R2258001","R2445401","R2734200","R2871101","R3074801","R3127300","R3127500","R3146100","R3279401","R3401501","R3403500","R3656901","R3657700","R4007401","R4008200","R4418501","R5103900","R5166901","R5626201","R6479600","R6480400","R7007300","R7704600","T0912400"
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,20,12,12,5,3,2,1858,12,5,-5,-5,-5,505,-4,-4,-4,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
339,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5591,5587,2,1,2,20,12,9,5,3,2,1470,9,5,0,0,1,502,12,9,6841,9,9,9,9,118,12,1,12,12,0,12,12,172,1,0,20000,12,2,12,1680,12,2450,12,12,12,0,12,0,12,12,5500
-4,-4,-4,-4,-4,-4,-4,-4,857,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1839,5608,4,1,3,17,5,10,5,3,2,-3,10,5,-3,0,5,-5,51,46,49444,-5,10,10,10,152,10,6,10,10,0,10,10,862,3,0,6000,10,9,10,210,10,2500,12,12,12,42000,12,270,12,12,0
-4,-4,-4,-4,-4,-4,849,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,16,3,9,5,3,2,0,9,5,-5,-5,-5,507,62,48,55761,9,9,9,13,126,13,1,14,14,0,14,14,841,1,0,0,14,7,-5,-5,14,3395,14,-5,14,35000,14,3008,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,19,5,13,1,3,1,1228,13,4,0,0,3,503,90,99,96772,15,16,17,18,-5,-5,-5,18,-5,0,18,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,897,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5541,4096,3,1,6,18,5,12,1,3,1,805,12,4,1,0,4,504,99,99,99393,14,15,16,16,200,16,10,16,16,0,16,16,891,1,0,23000,16,10,16,1960,16,2120,16,16,16,35000,-5,-5,16,16,65000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,5657,4973,3,-4,7,14,5,8,1,3,1,-4,8,3,0,0,3,505,33,35,47412,10,11,12,12,155,12,5,12,12,0,12,12,-4,-4,1,0,12,7,12,175,12,460,12,12,12,25600,12,4896,12,12,19000
-4,-4,-4,-4,-4,-4,-4,708,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3441,5860,3,-4,8,20,3,12,6,3,2,225,12,3,0,0,1,505,43,42,44022,12,12,12,12,155,12,2,12,12,1,12,12,701,1,0,17000,12,8,12,1720,12,1880,12,12,12,24000,12,4444,13,14,36000
-4,-4,-4,648,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5658,6076,1,1,9,15,12,9,1,3,1,-4,9,6,0,0,3,506,55,51,59683,11,12,12,12,159,12,4,13,13,0,13,13,621,1,0,30000,14,4,14,2450,14,2860,14,14,14,52000,14,4950,14,14,65000
-4,-4,-4,-4,-4,-4,669,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,18,5,9,6,3,2,0,9,3,0,0,1,506,27,21,30039,9,9,9,9,135,9,5,-5,-5,0,9,-5,641,1,0,4000,9,7,9,1820,9,1560,9,9,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,189,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5914,5219,1,-4,11,19,5,-3,1,3,1,788,13,3,-5,-5,-5,511,71,81,85347,15,16,16,16,155,16,10,-5,-5,-5,-5,16,322,1,0,74283,16,10,16,1520,16,2400,16,16,16,60000,16,2550,16,16,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,19,5,13,5,3,2,-3,13,3,0,0,4,506,94,89,89641,15,16,16,16,109,16,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,16,-5,-5,-5,-5,-5,-5,-5
-4,-4,728,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5682,5789,1,-4,13,20,11,14,1,3,1,732,14,5,0,0,1,511,78,85,72313,15,16,16,16,175,16,2,16,16,1,16,16,722,1,0,40000,16,3,16,3000,16,3445,16,16,16,52000,16,4000,16,16,8000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,587,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5550,5783,2,1,14,15,11,9,5,3,2,-4,9,5,2,0,2,507,88,92,98798,11,12,13,14,145,15,7,16,16,0,16,16,532,1,1,24000,16,15,16,2057,16,2143,16,16,17,29000,17,5050,18,18,116000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5724,5881,1,1,15,15,11,8,1,3,1,-4,8,4,0,0,1,601,83,69,82260,10,11,12,13,185,14,5,15,16,0,16,16,-4,-4,0,0,16,7,16,1600,16,2750,16,16,16,38000,16,360,16,16,0
-4,-4,-4,-4,-4,-4,-4,849,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5491,5381,3,1,16,20,12,12,5,3,2,2090,12,4,0,0,2,503,63,57,50283,12,12,12,13,135,13,6,13,13,0,13,13,841,1,0,36000,13,9,13,2000,13,1470,13,13,13,25000,13,1311,13,13,71000
-4,-4,-4,-4,-4,-4,69,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5431,5118,3,0,17,22,3,13,1,3,1,2928,13,2,-1,1,1,509,84,88,89669,13,13,13,13,160,13,4,13,13,0,13,13,60,3,0,32000,13,9,13,1833,13,2000,13,13,13,20000,13,2691,13,13,43000
-4,-4,-4,248,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5752,5574,1,0,18,21,3,12,1,3,1,1360,12,1,0,0,3,509,99,98,95977,12,12,12,13,155,13,3,13,13,0,13,13,380,1,0,74283,13,4,13,2295,13,2120,13,13,13,80000,13,3920,13,13,120000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5093,3950,3,1,19,21,5,12,5,3,2,2272,12,2,0,0,5,504,-4,-4,-4,12,12,-5,12,125,12,9,12,12,0,12,12,-4,-4,0,0,12,10,12,0,12,0,12,12,-5,-5,12,0,-5,-5,0
